id,user_id
c1a1cba0-1111-4a00-8000-000000000001,4f041e33-e71f-4483-b007-7c33f421f9ed
c1a1cba0-1111-4a00-8000-000000000002,feeacad2-eb69-4b22-adeb-63cd1160359a
c1a1cba0-1111-4a00-8000-000000000003,2c7b835a-d963-43b4-9e13-ecb8e8024a35
c1a1cba0-1111-4a00-8000-000000000004,291124b0-5b51-4c08-a066-a0da5735c7de
c1a1cba0-1111-4a00-8000-000000000005,d54fb539-8f47-414a-868a-55d5e0ec2208
c1a1cba0-1111-4a00-8000-000000000006,f4ccae60-13b0-48d3-b9b7-500830af2e07
c1a1cba0-1111-4a00-8000-000000000007,b6259094-610c-4eff-a233-d37a2ae6c71a
c1a1cba0-1111-4a00-8000-000000000008,66a2594c-98cc-467a-96ad-1d11ac012520
c1a1cba0-1111-4a00-8000-000000000009,66fd3dd2-2eb5-4e8f-bf75-213d28710e0c
c1a1cba0-1111-4a00-8000-000000000010,c0224453-3b52-4191-8ec5-a077b4d8cff0
c1a1cba0-1111-4a00-8000-000000000011,ba1f184a-a451-4f4a-8988-6c1c385a9efe
c1a1cba0-1111-4a00-8000-000000000012,8857dfa8-9995-491c-b3b0-9fc4a0583232
c1a1cba0-1111-4a00-8000-000000000013,478f46f5-a131-458a-a93f-3b22ca1a0363
c1a1cba0-1111-4a00-8000-000000000014,42c6971c-b163-44b9-9d23-867ec7084694
c1a1cba0-1111-4a00-8000-000000000015,13f6f971-655d-447f-9d4c-d19e12c664fb
c1a1cba0-1111-4a00-8000-000000000016,70745c05-abd5-44e8-a4f5-a20fee1dea29
c1a1cba0-1111-4a00-8000-000000000017,7017b21b-a0e1-4372-8ed8-e67e2489e3cd
c1a1cba0-1111-4a00-8000-000000000018,c77497fe-3de4-45e1-94ab-8a86028cffe5
c1a1cba0-1111-4a00-8000-000000000019,c221ebce-25d6-44b3-99f2-67c7a68769e6
c1a1cba0-1111-4a00-8000-000000000020,87bad0ab-32de-45dd-a237-9b331fc0b564