id,id_franchise,title,content
6c9e42c4-5cb0-4e01-889a-50871c89dfd1,5fd1c64a-b511-427a-9c54-c35888c499f4,Bumbu Rahasia,Resep turun-temurun untuk ayam geprek.
65efced7-512f-4ff6-a7ff-393d31250115,61986c4b-65c5-4123-b6db-b1ee95ebb104,Daging Sapi Asli,Bakso menggunakan daging sapi 100%.
b59ed17d-8717-46d6-b5fd-0d236d775cd4,932840ef-0174-4f41-90cc-3032c97f9194,Kopi Premium,Biji kopi pilihan dari Gayo dan Flores.
3f71e179-b7dc-417a-9247-0ae3ce62e248,04244c54-dbea-4ec9-bbad-2f5f099efb8a,Manis Segar,Teh dengan gula aren asli.
2dc041fb-5246-4dbf-b86b-e9ac8e6d8d1b,1fc8e7d1-0697-4dcd-bc3b-47b945494fe9,Porsi Besar,Pizza dengan topping melimpah.
e113cf45-934c-4af7-8c8c-09343f3ddf9b,d7862ac8-64b6-47b6-848d-bf8ff2780c51,Roti Empuk,Grilled bread dengan butter khas.
0215bda7-93bc-4e44-8e7f-774f6ccdf342,ba6b5728-26df-419b-a638-57c1783c6abb,Resep Hongkong,Dimsum original dengan cita rasa internasional.
993b11a0-0c4d-4022-bf65-5fe5e6a5f0c9,81e06ca3-ef8b-4a72-9d1d-0324fd381a71,Segar dan Manis,Es krim homemade tanpa pengawet.
c1e54b34-7851-40ff-ae9f-7ed74d6c4e0c,cdd78575-88ff-4a65-9f79-e8b1df513684,Topping Melimpah,Martabak dengan keju 3 lapis.
be08f1de-9601-4bb9-b7c5-fc637e872c52,aa74012b-9cf9-4a25-82ae-6bc93259b2b8,Nasi Pulen,Nasi goreng dengan rempah khas.
2f79bb2f-5b16-464e-80c5-ff9d31e22b64,34adc732-7b08-47dd-a5d6-388aaf9f14ce,Level Pedas,Mie dengan pilihan level 1â€“5.
bc04803e-0b1a-4bd4-9ee0-65b1adf812d7,c172fcb1-d209-4191-8d99-4d48cd9c2e98,Daging Ayam Asli,Tanpa pengawet dan bumbu instan.
8f6b18d9-f278-4d3a-bdf1-1ce701b70541,a7598986-9fe8-4e80-b8f9-90ad3b9b633b,Daging Sapi Lokal,Burger menggunakan bahan segar harian.
9b487e52-f81f-4aa0-bd6b-e14c0db62215,37355f8c-0aa2-4b01-9fb8-1d262a9d6fc1,Kebab Besar,Isi daging penuh sampai tumpah.
fa3d2034-3585-4aef-b7a2-95a130b86da3,21f6b229-d4ea-412d-b326-41c4a5625348,Susu Sapi Murni,Langsung dari peternakan.
cfd18ff2-e416-4a59-8504-bc0c32bfb44b,73fd53c4-3ba5-4a6e-b66b-7597772c6f83,Ikan Segar,Olahan pempek dari ikan pilihan.
512a89c3-dbe5-46ad-a13e-4fdcf2d3e799,4da11120-0a16-492a-97eb-b67b08df6f94,Duren Lokal,Duren premium asli Palembang.
a79d3e1e-7cf7-4d36-b35f-90f03fd5b9df,6e2559f1-af72-4672-95b0-fd7cb1a51e85,Spaghetti Italia,Rasa autentik dari saus homemade.
51988ce6-f4fd-48a9-a949-0f3141e8d6a1,6d2be7c4-75e9-4acd-a704-25b9eb69d94a,Ayam Kampung,Ayam bakar sehat tanpa MSG.
b86d7d7f-1f41-4dc6-b40c-7b28a8bdbbfb,9f38441e-9465-46d1-a135-3466bfead275,Renyah dan Gurih,Tahu crispy dengan baluran spesial.