id,user_id,title,message,type,is_read,sent_at
11a1a1a1-0001-4000-8000-000000000001,712e8324-7a46-4dbb-a2cc-b17d12c3c321,Permintaan Pendanaan Dikirim,Permintaan pendanaan untuk franchise Ayam Geprek Mantap telah dikirim.,funding_request,false,2025-06-20T09:00:00Z
11a1a1a1-0002-4000-8000-000000000002,e2f1c1f4-15a5-4a83-bb57-13534de3e050,Permintaan Pendanaan Baru,Franchisee One telah mengirim permintaan pendanaan untuk franchise Ayam Geprek Mantap.,funding_request,false,2025-06-20T09:00:00Z
11a1a1a1-0003-4000-8000-000000000003,712e8324-7a46-4dbb-a2cc-b17d12c3c321,Pembelian Franchise Berhasil,Anda telah berhasil melakukan pembelian franchise Bakso Beranak.,purchase,false,2025-06-22T10:30:00Z
11a1a1a1-0004-4000-8000-000000000004,feeacad2-eb69-4b22-adeb-63cd1160359a,Pembelian Franchise Baru,Franchisee One telah melakukan pembelian franchise Bakso Beranak.,purchase,false,2025-06-22T10:30:00Z
11a1a1a1-0005-4000-8000-000000000005,7c67a4f7-86d7-4f10-8c8d-222222222002,Permintaan Pendanaan Dikirim,Permintaan pendanaan untuk franchise Kopi Keren telah dikirim.,funding_request,false,2025-06-23T14:45:00Z
11a1a1a1-0006-4000-8000-000000000006,e2f1c1f4-15a5-4a83-bb57-13534de3e050,Permintaan Pendanaan Baru,Franchisee Two telah mengirim permintaan pendanaan untuk franchise Kopi Keren.,funding_request,false,2025-06-23T14:45:00Z
11a1a1a1-0007-4000-8000-000000000007,7c67a4f7-86d7-4f10-8c8d-222222222002,Pembelian Franchise Berhasil,Anda telah berhasil melakukan pembelian franchise Teh Manis Corner.,purchase,false,2025-06-24T11:20:00Z
11a1a1a1-0008-4000-8000-000000000008,291124b0-5b51-4c08-a066-a0da5735c7de,Pembelian Franchise Baru,Franchisee Two telah melakukan pembelian franchise Teh Manis Corner.,purchase,false,2025-06-24T11:20:00Z
11a1a1a1-0009-4000-8000-000000000009,87c9e6ff-1846-4eaf-9ea0-333333333003,Pembelian Franchise Berhasil,Anda telah berhasil melakukan pembelian franchise Pizza Mini.,purchase,false,2025-06-25T16:00:00Z
11a1a1a1-0010-4000-8000-000000000010,d54fb539-8f47-414a-868a-55d5e0ec2208,Pembelian Franchise Baru,Franchisee Three telah melakukan pembelian franchise Pizza Mini.,purchase,false,2025-06-25T16:00:00Z